"","text"
"1","biasakan tetep pake masker  cuci tangan  bersihkan tangan  handsanitizer lawancovid "
"2","  keliatan sok kuatnya iya kelihatankuat menahan malu diabaikan diacuhkan     "
"3","ayoooo be ready to new normal    newnormal weddingpackage weddingindustry eventorganizer "
"4","lawancovid "
"5","  perkembangan situasicovid kabupaten probolinggo   mei   waspada jaga keseha "
"6","update informasi kamis  giat tentaralangit bpbd kab magetan  penyemprotan disinfektan  upaya "
"7"," selamat sore sahabattangguh  mimin  laporan giat pos lapangan perbatasan  wilayah kabupaten magetan"
"8","selamat sore sahabattangguh  mimin  laporan giat pos lapangan perbatasan  wilayah kabupaten mage "
"9"," biduran  covid lho   neverendinglearning lawancovid cegahcovid dirumahaja  surabaya  "
"10"," halo sobatrbpn  informasi  pengaduan terkait layanan pertanahan   kanwil  kantor pertanahan  "
"11"," teman praja mendagri tito karnavian  koordinasi  monitoring langsung penanganan covid  kebijakan ps"
"12"," halo sobatrbpn  informasi  pengaduan terkait layanan pertanahan   kanwil  kantor pertanahan  "
"13"," alhamdulillah semoga  menurun  lawancorona lawancovid newnormal"
"14"," monggo disimak pedoman  era new normal  who   dicanangkan  pemerintah poldajatim ntmcpolri ditlant"
"15","savecisadane cisadane lingkungan tangsel banten pencemaran sampah ngpainaja lawancovid  dirumahaja "
"16","pembinaan koperasi pandan wangi desa pandan enim  penyuluhkoperasi  ppklkemenkop ppklkabmuaraenim  ppklsumsel "
"17","  perkembangan situasicovid kabupaten probolinggo   mei   waspada jaga keseha "
"18"," selamat sore sahabattangguh  mimin  laporan giat pos lapangan perbatasan  wilayah kabupaten magetan"
"19"," update informasi rabu  giat tentaralangit bpbd kab magetan  penyemprotan disinfektan  upaya mengan"
"20","update informasi rabu  giat tentaralangit bpbd kab magetan  penyemprotan disinfektan  upaya m "
"21"," informasi  reservasi   hubungi  cargomarketingindonesiacom  pesawatcarter "
"22","selamat sore sahabattangguh  mimin  laporan giat pos lapangan perbatasan  wilayah kabupaten mage "
"23"," monggo disimak pedoman  era new normal  who   dicanangkan  pemerintah poldajatim ntmcpolri ditlant"
"24"," monggo disimak pedoman  era new normal  who   dicanangkan  pemerintah poldajatim ntmcpolri ditlant"
"25","monggo disimak pedoman  era new normal  who   dicanangkan  pemerintah poldajatim ntmcpolri "
"26","   perkembangan situasicovid kabupaten probolinggo   mei   waspada jaga kesehatan patu"
"27","  perkembangan situasicovid kabupaten probolinggo   mei   waspada jaga keseha "
